Tên hàng,Mã SP,Nhóm hàng,Giá bán,Giá nhập,Đơn vị,Tồn kho,Mã vạch
Bình giữ nhiệt galaxy 500ml,BGN-901,Gia dụng,189000,95000,cái,22,8931000000101
Ốp lưng silicon vịt vàng,OLV-902,Phụ kiện điện tử,79000,32000,cái,55,8931000000102
Nến thơm lavender handmade,NTL-903,Đời sống,125000,58000,hộp,18,8931000000103
Gối cổ du lịch memory foam,GCD-904,Đời sống,249000,130000,cái,14,8931000000104
Cây sen đá mini terrarium,CSD-905,Cây cảnh,89000,35000,chậu,30,8931000000105
Bộ board game cờ cá ngựa,BGM-906,Đồ chơi,159000,72000,bộ,9,8931000000107
Ly sứ in quote barista,LSB-907,Gia dụng,69000,28000,cái,40,8931000000108
Túi tote canvas in logo,TTC-908,Phụ kiện,99000,41000,cái,26,8931000000109
Dây đeo smartwatch nylon,DDS-909,Phụ kiện điện tử,119000,52000,cái,33,8931000000110
Hạt giống cải xanh organic,HGC-910,Nông sản mini,45000,18000,gói,60,8931000000111
